Time        Speed       Wheel       Brake       Acceleration 
6.06        28.45        0.00        0.00        -70.63        
6.08        28.53        0.00        0.00        -70.63        
6.10        28.61        0.00        0.00        -70.63        
6.12        28.70        0.00        0.00        -70.63        
6.14        28.78        0.00        0.00        -70.63        
6.16        28.86        0.00        0.00        -70.63        
6.18        28.94        0.00        0.00        -70.63        
6.20        29.03        0.00        0.00        -70.63        
6.22        29.11        0.00        0.00        -70.63        
6.24        29.19        0.00        0.00        -70.63        
6.26        29.27        0.00        0.00        -70.63        
6.28        29.35        0.00        0.00        -70.63        
6.30        29.43        0.00        0.00        -70.63        
6.32        29.51        0.00        0.00        -70.63        
6.34        29.59        0.00        0.00        -70.63        
6.36        29.68        0.00        0.00        -70.63        
6.38        29.76        0.00        0.00        -70.63        
6.40        29.84        0.00        0.00        -70.63        
6.42        29.92        0.00        0.00        -70.63        
6.44        30.00        0.00        0.00        -70.63        
6.46        30.08        0.00        0.00        -70.63        
6.48        30.16        0.00        0.00        -70.63        
6.50        30.24        0.00        0.00        -70.63        
6.52        30.32        0.00        0.00        -70.63        
6.54        30.40        0.00        0.00        -70.63        
6.56        30.47        0.00        0.00        -70.63        
6.58        30.55        0.00        0.00        -70.63        
6.60        30.63        0.00        0.00        -70.63        
6.62        30.71        0.00        0.00        -70.63        
6.64        30.79        0.00        0.00        -70.63        
6.66        30.87        0.00        0.00        -70.63        
6.68        30.95        0.00        0.00        -70.63        
6.70        31.03        0.00        0.00        -70.63        
6.72        31.10        0.00        0.00        -70.63        
6.74        31.18        0.00        0.00        -70.63        
6.76        31.26        0.00        0.00        -70.63        
6.78        31.34        0.00        0.00        -70.63        
6.80        31.42        0.00        0.00        -70.63        
6.82        31.49        0.00        0.00        -70.63        
6.84        31.57        0.00        0.00        -70.63        
6.86        31.65        0.00        0.00        -70.63        
6.88        31.72        0.00        0.00        -70.63        
6.90        31.80        0.00        0.00        -70.63        
6.92        31.88        0.00        0.00        -70.63        
6.94        31.95        0.00        0.00        -70.63        
6.96        32.03        0.00        0.00        -70.63        
6.98        32.11        0.00        0.00        -70.63        
7.00        32.18        0.00        0.00        -70.63        
7.02        32.26        0.00        0.00        -70.63        
7.04        32.33        0.00        0.00        -70.63        
7.06        32.41        0.00        0.00        -70.63        
7.08        32.49        0.00        0.00        -70.63        
7.10        32.56        0.00        0.00        -70.63        
7.12        32.64        0.00        0.00        -70.63        
7.14        32.71        0.00        0.00        -70.63        
7.16        32.79        0.00        0.00        -70.63        
7.18        32.86        0.00        0.00        -70.63        
7.20        32.94        0.00        0.00        -70.63        
7.22        33.01        0.00        0.00        -70.63        
7.24        33.09        0.00        0.00        -70.63        
7.26        33.16        0.00        0.00        -70.63        
7.28        33.23        0.00        0.00        -70.63        
7.30        33.31        0.00        0.00        -70.63        
7.32        33.38        0.00        0.00        -70.63        
